Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
809,916,H,BAL,KBRADISH,2,0,1,0,0,0,1,2,x,6,160,146,1.5,-120,8,-115,8.5,-110
809,917,V,CLE,SBIEBER,0,0,0,0,1,1,0,3,0,5,-185,-190,-1.5,-115,7.5,-120,7,-105
809,918,H,DET,TALEXANDE-L,0,0,0,0,0,0,0,0,2,2,155,175,1.5,-105,7.5,100,7,-115
809,919,V,CWS,DMARTIN,0,0,1,0,0,1,0,1,0,3,-135,-132,-1.5,120,9,-25,9,-115
809,920,H,KAN,JHEASLEY,0,0,0,1,0,0,0,0,1,2,115,122,1.5,-140,9,105,9,-105
809,921,V,TEX,MPEREZ-L,1,0,2,1,1,0,0,0,0,5,160,165,1.5,-130,8,-105,8,100
809,922,H,HOU,JURQUIDY,0,0,0,4,2,1,0,0,x,7,-190,-180,-1.5,110,8,-115,8,-120
809,923,V,LAA,SOHTANI,0,0,1,0,3,0,1,0,0,5,-185,-164,-1.5,110,6.5,-110,6.5,-115
809,924,H,OAK,JKAPRIELI,0,0,0,0,0,0,0,0,1,1,155,154,1.5,-130,6.5,-110,6.5,-105
809,925,V,NYY,GCOLE,0,0,0,0,0,0,0,0,0,0,-135,-131,-1.5,135,7,-115,7,110
809,926,H,SEA,LCASTILLO,0,0,0,0,0,0,0,0,0,1,115,121,1.5,-155,7,-105,7,-130
809,927,V,ATL,CMORTON,1,0,3,0,0,1,0,1,0,9,-145,-162,-1.5,-115,9.5,-110,9.5,-115
809,928,H,BOS,RHILL-L,0,2,1,1,1,0,0,1,0,7,125,152,1.5,-105,9.5,-110,9.5,-105
809,929,V,TAM,JYACABONI,0,0,2,0,0,0,1,0,0,3,145,144,1.5,-150,8,-105,8,-105
809,930,H,MIL,FPERALTA,1,1,0,0,3,0,0,0,x,5,-170,-154,-1.5,130,8,-115,8,-115
809,931,V,MIN,JRYAN,0,1,0,0,0,0,0,2,0,3,170,210,1.5,-105,8.5,-105,8,-115
809,932,H,LAD,JURIAS-L,1,3,1,1,0,0,2,2,x,10,-200,-240,-1.5,-115,8.5,-115,8,-105
810,951,V,CIN,TZEUCH,0,0,0,2,0,0,0,0,0,2,255,280,1.5,135,9,-105,9,100
810,952,H,NYM,TWALKER,2,3,1,0,1,3,0,0,x,10,-315,-320,-1.5,-155,9,-115,9,-120
810,953,V,WAS,JGRAY,0,0,1,0,0,1,0,0,0,2,150,144,1.5,-155,8,-110,7.5,-105
810,954,H,CUB,JSTEELE-L,0,0,0,0,0,0,4,0,x,4,-180,-154,-1.5,135,8,-110,7.5,-115
810,955,V,SFO,JJUNIS,0,1,3,0,0,3,0,0,0,7,135,148,1.5,-145,8.5,-105,9,-110
810,956,H,SDG,SMANAEA-L,0,0,6,0,0,7,0,0,x,13,-160,-158,-1.5,125,8.5,-115,9,-110
810,957,V,MIA,SALCANTAR,0,1,0,1,0,0,0,1,0,3,145,110,1.5,-200,7,100,7.5,-110
810,958,H,PHI,NSYNDERGA,0,0,0,0,0,1,0,3,x,4,-170,-120,-1.5,175,7,-120,7.5,-110
810,959,V,STL,JQUINTANA-L,5,0,0,0,1,2,0,0,1,9,-145,-150,-1.5,-105,10.5,-110,12.5,-110
810,960,H,COL,KFREELAND-L,0,0,1,0,1,0,0,0,3,5,125,140,1.5,-115,10.5,-110,12.5,-110
810,961,V,PIT,MKELLER,0,0,2,1,0,2,0,0,1,6,160,135,1.5,-160,8,-105,8,100
810,962,H,ARI,MBUMGARNE-L,0,0,0,2,0,1,0,0,1,4,-190,-145,-1.5,140,8,-115,8,-120
810,963,V,LAA,TTOUSSAIN,0,0,0,0,0,3,0,0,0,5,105,123,1.5,-180,7.5,-115,7.5,-120
810,964,H,OAK,JSEARS-L,0,0,0,0,0,0,3,0,0,4,-125,-133,-1.5,160,7.5,-105,7.5,100
810,965,V,NYY,NCORTES-L,0,0,0,0,0,0,3,0,0,3,-135,-119,-1.5,140,7.5,-115,7,-120
810,966,H,SEA,RRAY-L,0,0,0,0,0,1,3,0,x,4,115,109,1.5,-160,7.5,-105,7,100
810,969,V,CLE,ACIVALE,1,2,0,0,0,0,0,0,0,3,-150,-162,-1.5,-105,8,-105,8,-115
810,970,H,DET,DHUTCHISO,0,0,0,2,0,0,0,0,0,2,130,152,1.5,-115,8,-115,8,-105
810,971,V,TEX,GOTTO,0,0,0,2,0,1,0,0,0,8,260,250,1.5,120,7.5,-105,7.5,105
810,972,H,HOU,JVERLANDE,0,1,0,1,0,0,1,0,0,4,-320,-290,-1.5,-140,7.5,-115,7.5,-25
810,973,V,CWS,JCUETO,0,0,0,0,0,3,0,0,0,3,-130,-141,-1.5,115,8.5,-120,8.5,-115
810,974,H,KAN,KBUBIC-L,0,0,1,0,0,2,1,4,x,8,110,131,1.5,-135,8.5,100,8.5,-105
810,975,V,TAM,JSPRINGS-L,0,0,1,0,1,0,1,0,0,3,135,141,1.5,-165,7.5,-110,7.5,105
810,976,H,MIL,BWOODRUFF,2,0,0,0,0,0,0,0,1,4,-160,-151,-1.5,145,7.5,-110,7.5,-25
810,977,V,ATL,KWRIGHT,0,0,0,3,0,0,2,2,1,8,-135,-144,-1.5,105,9.5,100,9,-120
810,978,H,BOS,NPIVETTA,0,0,0,0,1,0,3,0,0,4,115,134,1.5,-125,9.5,-120,9,100
810,979,V,MIN,SGRAY,0,0,3,0,1,0,0,0,1,5,130,177,1.5,-120,9,-120,9,-105
810,980,H,LAD,RPEPIOT,0,2,0,0,2,1,3,0,x,8,-150,-194,-1.5,100,9,100,9,-115
811,901,V,MIA,ECABRERA,0,1,0,0,0,2,0,0,0,3,145,145,1.5,-155,8,-110,8,-105
811,902,H,PHI,KGIBSON,0,0,0,0,0,0,0,0,0,0,-170,-155,-1.5,135,8,-110,8,-115
811,903,V,STL,DHUDSON,0,0,0,2,0,0,0,3,1,6,-165,-105,-1.5,135,11,-115,12,100
811,904,H,COL,GMARQUEZ,0,2,0,0,0,0,6,0,x,8,140,-105,1.5,-155,11,-105,12,-120
811,905,V,PIT,JBRUBAKER,0,0,0,3,0,0,0,0,0,3,145,148,1.5,-135,8,-110,7.5,100
811,906,H,ARI,MKELLY,0,0,0,2,0,0,7,0,x,9,-170,-158,-1.5,115,8,-110,7.5,-120
811,907,V,CUB,DSMYLY-L,3,0,0,1,0,0,0,0,0,4,-115,102,1.5,-190,8.5,-110,9,105
811,908,H,CIN,NLODOLO-L,0,0,0,0,0,0,2,0,0,2,-105,-112,-1.5,170,8.5,-110,9,-25
811,909,V,CLE,ZPLESAC,0,1,0,1,1,0,0,0,0,4,-170,-145,-1.5,105,8,-110,8.5,-110
811,910,H,DET,GHILL,0,0,0,0,0,1,0,0,2,3,145,135,1.5,-125,8,-110,8.5,-110
811,911,V,TEX,CRAGANS--,0,0,0,0,0,0,0,2,1,3,265,230,1.5,105,8,-110,8,100
811,912,H,HOU,FVALDEZ-L,0,3,0,0,2,0,2,0,x,7,-330,-260,-1.5,-125,8,-110,8,-120
811,913,V,CWS,DCEASE,0,0,0,0,0,0,0,2,1,3,-195,-178,-1.5,-110,8,-115,7.5,-120
811,914,H,KAN,ZGREINKE,0,1,0,0,0,0,3,1,x,5,165,164,1.5,-110,8,-105,7.5,100
811,915,V,BAL,DKREMER,0,0,0,0,0,3,0,0,0,3,100,110,1.5,-170,10,-105,10,-120
811,916,H,BOS,JWINCKOWS,1,0,2,0,0,1,0,0,x,4,-120,-120,-1.5,150,10,-115,10,100
812,951,V,ATL,JODORIZZI,0,0,0,1,0,1,0,2,0,4,-165,-136,-1.5,135,7.5,-110,7,-25
812,952,H,MIA,PLOPEZ,0,2,0,0,0,0,0,1,0,3,140,126,1.5,-155,7.5,-110,7,105
812,953,V,SDG,MCLEVINGE,0,0,0,1,7,0,0,2,0,10,-210,-280,-1.5,-175,8.5,-120,9,-110
812,954,H,WAS,CABBOTT,0,0,0,0,1,1,0,0,3,5,175,245,1.5,155,8.5,100,9,-110
812,955,V,PHI,RSUAREZ-L,1,0,0,0,0,0,0,0,0,2,135,205,1.5,-115,7,-120,7,-105
812,956,H,NYM,MSCHERZER,0,1,0,0,0,0,0,0,0,1,-160,-230,-1.5,-105,7,100,7,-115
812,957,V,MIL,ELAUER-L,0,0,0,0,0,0,1,0,0,1,120,153,1.5,-150,7,100,7.5,-105
812,958,H,STL,JMONTGOME-L,2,0,0,0,0,1,0,0,x,3,-140,-163,-1.5,130,7,-120,7.5,-115
812,959,V,ARI,ZDAVIES,0,1,0,2,0,0,0,0,0,3,105,111,1.5,-160,12,-120,12,-105
812,960,H,COL,ASENZATEL,0,0,0,2,1,0,2,0,x,5,-125,-121,-1.5,140,12,100,12,-115
812,961,V,PIT,BWILSON,0,0,0,1,0,1,1,0,0,3,220,245,1.5,110,7.5,100,7.5,100
812,962,H,SFO,CRODON-L,0,2,1,0,1,0,0,1,x,5,-270,-275,-1.5,-130,7.5,-120,7.5,-120
812,963,V,CLE,CQUANTRIL,0,0,5,3,0,0,0,0,0,8,160,140,1.5,-145,9,-105,8.5,-110
812,964,H,TOR,JBERRIOS,0,0,0,0,0,0,0,0,0,0,-190,-150,-1.5,125,9,-115,8.5,-110
812,965,V,BAL,AVOTH,1,1,0,0,1,4,1,1,1,10,130,130,1.5,-170,7.5,-115,7.5,100
812,966,H,TAM,CKLUBER,0,0,0,0,0,2,1,0,0,3,-150,-140,-1.5,150,7.5,-105,7.5,-120
812,967,V,DET,DNORRIS-L,0,0,0,0,0,0,0,0,0,0,195,180,1.5,-115,8.5,-120,8,-115
812,968,H,CWS,MKOPECH,0,0,0,0,0,0,2,0,x,2,-245,-200,-1.5,-105,8.5,100,8,-105
